#Id|nom|age|taille|pied|nationalite|position|club|ligue|fin_contrat|valeur_actuelle|valeur_max|montant_transfert|CDM|LDC|nb_selections|nb_buts
243.html|nathan-ake|28|1.80|gauche|Pays-Bas|Défenseur central|Manchester City|premier-league| 2025|30|40|68.90 |0|0|34|3
24.html|josko-gvardiol|21|1.85|gauche|Croatie|Défenseur central|RasenBallsport Leipzig|bundesliga| 2027|75|75|18.80 |0|0|19|2
486.html|eric-garcia|22|1.82|droit|Espagne|Défenseur central|FC Barcelone|laliga| 2026|18|20|1.70 |0|0|19|0
193.html|pedro-neto|22|1.72|gauche|Portugal|Ailier droit|Wolverhampton Wanderers|premier-league| 2027|32|38|36.40 |0|0|3|1
469.html|giorgian-de-arrascaeta|28|1.74|droit|Uruguay|Milieu offensif|Clube Regatas Flamengo|carioca-taca-guanabara| 2026|19|19|19.00 |0|0|42|10
310.html|takehiro-tomiyasu|24|1.88|droit|Japon|Arrière droit|FC Arsenal|premier-league| 2025|25|25|26.40 |0|0|33|1
255.html|guido-rodriguez|28|1.85|droit|Argentine|Milieu défensif|Real Betis Balompié|laliga| 2024|28|28|12.03 |1|0|27|1
73.html|diogo-jota|26|1.78|droit|Portugal|Ailier gauche|FC Liverpool|premier-league| 2027|55|60|65.70 |0|0|29|10
347.html|michael-olise|21|1.84|gauche|France|Ailier droit|Crystal Palace|premier-league| 2026|22|22|9.30 |0|0|2|0
202.html|joachim-andersen|26|1.92|droit|Danemark|Défenseur central|Crystal Palace|premier-league| 2026|32|32|44.92 |0|0|22|0
275.html|hugo-ekitike|20|1.89|droit|France|Avant-centre|Paris Saint-Germain|ligue-1| 2023|25|28|0.00|0|0|0|0
330.html|timo-werner|26|1.80|droit|Allemagne|Avant-centre|RasenBallsport Leipzig|bundesliga| 2026|25|80|96.00 |0|1|55|24
449.html|philipp-lienhart|26|1.89|droit|Autriche|Défenseur central|SC Fribourg|bundesliga| 2024|20|20|3.30 |0|2|11|0
222.html|daichi-kamada|26|1.84|droit|Japon|Milieu offensif|Eintracht Frankfurt|bundesliga| 2023|30|30|1.60 |0|0|26|6
388.html|endrick|16|1.73|gauche|Brésil|Avant-centre|Sociedade Esportiva Palmeiras|paulistao-a1-primeira-fase| 2025|20|20|35.00 |0|0|0|0
367.html|sean-longstaff|25|1.81|droit|Angleterre|Milieu central|Newcastle United|premier-league| 2025|22|22|0.00|0|0||
53.html|khvicha-kvaratskhelia|22|1.83|ambidextre|Géorgie|Ailier gauche|SSC Napoli|serie-a| 2027|60|60|20.38 |0|0|19|10
234.html|ngolo-kante|31|1.71|droit|France|Milieu défensif|Chelsea FC|premier-league| 2023|30|100|44.80 |1|1|53|2
371.html|tyrell-malacia|23|1.69|gauche|Pays-Bas|Arrière gauche|Manchester United|premier-league| 2026|22|22|15.00 |0|0|6|0
408.html|maxence-lacroix|22|1.90|droit|France|Défenseur central|VfL Wolfsburg|bundesliga| 2025|20|28|5.00 |0|0|2|0
45.html|raheem-sterling|28|1.70|droit|Angleterre|Ailier gauche|Chelsea FC|premier-league| 2027|70|160|120.60 |0|0|82|20
263.html|julian-brandt|26|1.85|droit|Allemagne|Milieu offensif|Borussia Dortmund|bundesliga| 2024|28|50|25.50 |0|0|39|3
326.html|mario-pasalic|28|1.88|droit|Croatie|Milieu offensif|Atalanta BC|serie-a| 2025|25|28|20.50 |0|0|50|7
12.html|rafael-leao|23|1.88|droit|Portugal|Ailier gauche|AC Milan|serie-a| 2024|85|85|29.50 |0|0|16|2
218.html|pedro-goncalves|24|1.73|droit|Portugal|Ailier gauche|Sporting CP|liga-portugal| 2026|30|38|7.80 |0|0|2|0
131.html|presnel-kimpembe|27|1.83|gauche|France|Défenseur central|Paris Saint-Germain|ligue-1| 2024|40|40|0.00|1|0|28|0
69.html|sadio-mane|30|1.74|droit|Sénégal|Ailier gauche|FC Bayern München|bundesliga| 2025|60|150|100.20 |0|1|92|33
2.html|vinicius-junior|22|1.76|droit|Brésil|Ailier gauche|Real Madrid|laliga| 2024|120|120|45.00 |0|1|20|2
86.html|ansu-fati|20|1.78|droit|Espagne|Ailier gauche|FC Barcelone|laliga| 2027|50|80|0.00|0|0|7|2
424.html|denis-zakaria|26|1.90|droit|Suisse|Milieu défensif|Chelsea FC|premier-league| 2023|20|45|25.50 |0|0|45|3
166.html|martin-terrier|25|1.84|droit|France|Ailier gauche|Stade Rennais FC|ligue-1| 2026|35|35|23.00 |0|0|13|7
189.html|kalidou-koulibaly|31|1.86|droit|Sénégal|Défenseur central|Chelsea FC|premier-league| 2026|35|75|47.05 |0|0|68|1
473.html|rayan-cherki|19|1.76|ambidextre|France|Milieu offensif|Olympique Lyonnais|ligue-1| 2024|18|27|0.00|0|0|7|4
259.html|hirving-lozano|27|1.75|droit|Mexique|Ailier droit|SSC Napoli|serie-a| 2024|28|45|57.50 |0|0|63|16
170.html|marc-guehi|22|1.82|droit|Angleterre|Défenseur central|Crystal Palace|premier-league| 2026|35|35|23.34 |0|0|3|0
